;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Roi
26;Average fixed raters;0.898228;9.825917;179;537;0.0;[0.87 0.92];Preprocessed data;Young Adult;alpha-1;T
27;Average fixed raters;0.876876;8.121891;179;537;0.0;[0.84 0.9 ];Preprocessed data;Young Adult;alpha-2;T
28;Average fixed raters;0.866273;7.477926;179;537;0.0;[0.83 0.9 ];Preprocessed data;Young Adult;beta1;T
29;Average fixed raters;0.921124;12.678078;179;537;0.0;[0.9  0.94];Preprocessed data;Young Adult;beta2;T
30;Average fixed raters;0.869173;7.643665;179;537;0.0;[0.83 0.9 ];Preprocessed data;Young Adult;beta3;T
31;Average fixed raters;0.688291;3.208119;179;537;0.0;[0.61 0.76];Preprocessed data;Young Adult;gamma;T
32;Average fixed raters;0.918387;12.252968;251;753;0.0;[0.9  0.93];Preprocessed data;Middle Age;delta;F
33;Average fixed raters;0.970168;33.521273;251;753;0.0;[0.96 0.98];Preprocessed data;Middle Age;theta;F
34;Average fixed raters;0.948134;19.28053;251;753;0.0;[0.94 0.96];Preprocessed data;Middle Age;alpha-1;F
35;Average fixed raters;0.942489;17.388107;251;753;0.0;[0.93 0.95];Preprocessed data;Middle Age;alpha-2;F
36;Average fixed raters;0.976174;41.971674;251;753;0.0;[0.97 0.98];Preprocessed data;Middle Age;beta1;F
37;Average fixed raters;0.954315;21.889069;251;753;0.0;[0.94 0.96];Preprocessed data;Middle Age;beta2;F
38;Average fixed raters;0.973849;38.239336;251;753;0.0;[0.97 0.98];Preprocessed data;Middle Age;beta3;F
39;Average fixed raters;0.93523;15.439296;251;753;0.0;[0.92 0.95];Preprocessed data;Middle Age;gamma;F
40;Average fixed raters;0.923823;13.127369;269;807;0.0;[0.91 0.94];Preprocessed data;Middle Age;delta;C
41;Average fixed raters;0.968941;32.196829;269;807;0.0;[0.96 0.97];Preprocessed data;Middle Age;theta;C
42;Average fixed raters;0.945696;18.414854;269;807;0.0;[0.93 0.96];Preprocessed data;Middle Age;alpha-1;C
43;Average fixed raters;0.93216;14.740568;269;807;0.0;[0.92 0.94];Preprocessed data;Middle Age;alpha-2;C
44;Average fixed raters;0.973647;37.945996;269;807;0.0;[0.97 0.98];Preprocessed data;Middle Age;beta1;C
45;Average fixed raters;0.96184;26.20571;269;807;0.0;[0.95 0.97];Preprocessed data;Middle Age;beta2;C
46;Average fixed raters;0.974975;39.960522;269;807;0.0;[0.97 0.98];Preprocessed data;Middle Age;beta3;C
47;Average fixed raters;0.907713;10.835755;269;807;0.0;[0.89 0.92];Preprocessed data;Middle Age;gamma;C
48;Average fixed raters;0.91383;11.605024;341;1023;0.0;[0.9  0.93];Preprocessed data;Middle Age;delta;PO
49;Average fixed raters;0.963621;27.488392;341;1023;0.0;[0.96 0.97];Preprocessed data;Middle Age;theta;PO
50;Average fixed raters;0.937722;16.057097;341;1023;0.0;[0.93 0.95];Preprocessed data;Middle Age;alpha-1;PO
51;Average fixed raters;0.939859;16.627618;341;1023;0.0;[0.93 0.95];Preprocessed data;Middle Age;alpha-2;PO
52;Average fixed raters;0.978095;45.651938;341;1023;0.0;[0.97 0.98];Preprocessed data;Middle Age;beta1;PO
53;Average fixed raters;0.960629;25.399723;341;1023;0.0;[0.95 0.97];Preprocessed data;Middle Age;beta2;PO
54;Average fixed raters;0.969638;32.935549;341;1023;0.0;[0.96 0.97];Preprocessed data;Middle Age;beta3;PO
55;Average fixed raters;0.925845;13.485177;341;1023;0.0;[0.91 0.94];Preprocessed data;Middle Age;gamma;PO
56;Average fixed raters;0.908507;10.92977;179;537;0.0;[0.88 0.93];Preprocessed data;Middle Age;delta;T
57;Average fixed raters;0.97109;34.589826;179;537;0.0;[0.96 0.98];Preprocessed data;Middle Age;theta;T
58;Average fixed raters;0.944834;18.127154;179;537;0.0;[0.93 0.96];Preprocessed data;Middle Age;alpha-1;T
59;Average fixed raters;0.91612;11.921758;179;537;0.0;[0.89 0.93];Preprocessed data;Middle Age;alpha-2;T
60;Average fixed raters;0.954205;21.836461;179;537;0.0;[0.94 0.96];Preprocessed data;Middle Age;beta1;T
61;Average fixed raters;0.918303;12.240409;179;537;0.0;[0.9  0.94];Preprocessed data;Middle Age;beta2;T
62;Average fixed raters;0.954877;22.161721;179;537;0.0;[0.94 0.96];Preprocessed data;Middle Age;beta3;T
63;Average fixed raters;0.919169;12.371559;179;537;0.0;[0.9  0.94];Preprocessed data;Middle Age;gamma;T
64;Average fixed raters;0.745957;3.936335;251;753;0.0;[0.69 0.79];Normalized data;Young Adult;delta;F
65;Average fixed raters;0.914492;11.694756;251;753;0.0;[0.9  0.93];Normalized data;Young Adult;theta;F
66;Average fixed raters;0.87769;8.175962;251;753;0.0;[0.85 0.9 ];Normalized data;Young Adult;alpha-1;F
67;Average fixed raters;0.849877;6.661184;251;753;0.0;[0.82 0.88];Normalized data;Young Adult;alpha-2;F
68;Average fixed raters;0.900135;10.013519;251;753;0.0;[0.88 0.92];Normalized data;Young Adult;beta1;F
69;Average fixed raters;0.925704;13.459694;251;753;0.0;[0.91 0.94];Normalized data;Young Adult;beta2;F
70;Average fixed raters;0.915674;11.858693;251;753;0.0;[0.9  0.93];Normalized data;Young Adult;beta3;F
71;Average fixed raters;0.802584;5.065458;251;753;0.0;[0.76 0.84];Normalized data;Young Adult;gamma;F
72;Average fixed raters;0.8251;5.717542;269;807;0.0;[0.79 0.86];Normalized data;Young Adult;delta;C
73;Average fixed raters;0.931385;14.574119;269;807;0.0;[0.92 0.94];Normalized data;Young Adult;theta;C
74;Average fixed raters;0.884214;8.636648;269;807;0.0;[0.86 0.91];Normalized data;Young Adult;alpha-1;C
75;Average fixed raters;0.882689;8.524338;269;807;0.0;[0.86 0.9 ];Normalized data;Young Adult;alpha-2;C
76;Average fixed raters;0.917824;12.168974;269;807;0.0;[0.9  0.93];Normalized data;Young Adult;beta1;C
77;Average fixed raters;0.944461;18.005508;269;807;0.0;[0.93 0.95];Normalized data;Young Adult;beta2;C
78;Average fixed raters;0.921102;12.674559;269;807;0.0;[0.9  0.94];Normalized data;Young Adult;beta3;C
79;Average fixed raters;0.756553;4.107662;269;807;0.0;[0.71 0.8 ];Normalized data;Young Adult;gamma;C
80;Average fixed raters;0.727593;3.670981;341;1023;0.0;[0.68 0.77];Normalized data;Young Adult;delta;PO
81;Average fixed raters;0.91226;11.397363;341;1023;0.0;[0.9  0.93];Normalized data;Young Adult;theta;PO
82;Average fixed raters;0.886649;8.822181;341;1023;0.0;[0.87 0.91];Normalized data;Young Adult;alpha-1;PO
83;Average fixed raters;0.868602;7.610454;341;1023;0.0;[0.84 0.89];Normalized data;Young Adult;alpha-2;PO
84;Average fixed raters;0.901498;10.152116;341;1023;0.0;[0.88 0.92];Normalized data;Young Adult;beta1;PO
85;Average fixed raters;0.937634;16.034304;341;1023;0.0;[0.93 0.95];Normalized data;Young Adult;beta2;PO
86;Average fixed raters;0.895587;9.57739;341;1023;0.0;[0.88 0.91];Normalized data;Young Adult;beta3;PO
87;Average fixed raters;0.862491;7.272243;341;1023;0.0;[0.84 0.88];Normalized data;Young Adult;gamma;PO
88;Average fixed raters;0.683851;3.163061;179;537;0.0;[0.6  0.75];Normalized data;Young Adult;delta;T
89;Average fixed raters;0.926718;13.645857;179;537;0.0;[0.91 0.94];Normalized data;Young Adult;theta;T
90;Average fixed raters;0.898228;9.825917;179;537;0.0;[0.87 0.92];Normalized data;Young Adult;alpha-1;T
91;Average fixed raters;0.876876;8.121891;179;537;0.0;[0.84 0.9 ];Normalized data;Young Adult;alpha-2;T
92;Average fixed raters;0.866273;7.477926;179;537;0.0;[0.83 0.9 ];Normalized data;Young Adult;beta1;T
93;Average fixed raters;0.921124;12.678078;179;537;0.0;[0.9  0.94];Normalized data;Young Adult;beta2;T
94;Average fixed raters;0.869173;7.643665;179;537;0.0;[0.83 0.9 ];Normalized data;Young Adult;beta3;T
95;Average fixed raters;0.688291;3.208119;179;537;0.0;[0.61 0.76];Normalized data;Young Adult;gamma;T
96;Average fixed raters;0.918387;12.252968;251;753;0.0;[0.9  0.93];Normalized data;Middle Age;delta;F
97;Average fixed raters;0.970168;33.521273;251;753;0.0;[0.96 0.98];Normalized data;Middle Age;theta;F
98;Average fixed raters;0.948134;19.28053;251;753;0.0;[0.94 0.96];Normalized data;Middle Age;alpha-1;F
99;Average fixed raters;0.942489;17.388107;251;753;0.0;[0.93 0.95];Normalized data;Middle Age;alpha-2;F
100;Average fixed raters;0.976174;41.971674;251;753;0.0;[0.97 0.98];Normalized data;Middle Age;beta1;F
101;Average fixed raters;0.954315;21.889069;251;753;0.0;[0.94 0.96];Normalized data;Middle Age;beta2;F
102;Average fixed raters;0.973849;38.239336;251;753;0.0;[0.97 0.98];Normalized data;Middle Age;beta3;F
103;Average fixed raters;0.93523;15.439296;251;753;0.0;[0.92 0.95];Normalized data;Middle Age;gamma;F
104;Average fixed raters;0.923823;13.127369;269;807;0.0;[0.91 0.94];Normalized data;Middle Age;delta;C
105;Average fixed raters;0.968941;32.196829;269;807;0.0;[0.96 0.97];Normalized data;Middle Age;theta;C
106;Average fixed raters;0.945696;18.414854;269;807;0.0;[0.93 0.96];Normalized data;Middle Age;alpha-1;C
107;Average fixed raters;0.93216;14.740568;269;807;0.0;[0.92 0.94];Normalized data;Middle Age;alpha-2;C
108;Average fixed raters;0.973647;37.945996;269;807;0.0;[0.97 0.98];Normalized data;Middle Age;beta1;C
109;Average fixed raters;0.96184;26.20571;269;807;0.0;[0.95 0.97];Normalized data;Middle Age;beta2;C
110;Average fixed raters;0.974975;39.960522;269;807;0.0;[0.97 0.98];Normalized data;Middle Age;beta3;C
111;Average fixed raters;0.907713;10.835755;269;807;0.0;[0.89 0.92];Normalized data;Middle Age;gamma;C
112;Average fixed raters;0.91383;11.605024;341;1023;0.0;[0.9  0.93];Normalized data;Middle Age;delta;PO
113;Average fixed raters;0.963621;27.488392;341;1023;0.0;[0.96 0.97];Normalized data;Middle Age;theta;PO
114;Average fixed raters;0.937722;16.057097;341;1023;0.0;[0.93 0.95];Normalized data;Middle Age;alpha-1;PO
115;Average fixed raters;0.939859;16.627618;341;1023;0.0;[0.93 0.95];Normalized data;Middle Age;alpha-2;PO
116;Average fixed raters;0.978095;45.651938;341;1023;0.0;[0.97 0.98];Normalized data;Middle Age;beta1;PO
117;Average fixed raters;0.960629;25.399723;341;1023;0.0;[0.95 0.97];Normalized data;Middle Age;beta2;PO
118;Average fixed raters;0.969638;32.935549;341;1023;0.0;[0.96 0.97];Normalized data;Middle Age;beta3;PO
119;Average fixed raters;0.925845;13.485177;341;1023;0.0;[0.91 0.94];Normalized data;Middle Age;gamma;PO
120;Average fixed raters;0.908507;10.92977;179;537;0.0;[0.88 0.93];Normalized data;Middle Age;delta;T
121;Average fixed raters;0.97109;34.589826;179;537;0.0;[0.96 0.98];Normalized data;Middle Age;theta;T
122;Average fixed raters;0.944834;18.127154;179;537;0.0;[0.93 0.96];Normalized data;Middle Age;alpha-1;T
123;Average fixed raters;0.91612;11.921758;179;537;0.0;[0.89 0.93];Normalized data;Middle Age;alpha-2;T
124;Average fixed raters;0.954205;21.836461;179;537;0.0;[0.94 0.96];Normalized data;Middle Age;beta1;T
125;Average fixed raters;0.918303;12.240409;179;537;0.0;[0.9  0.94];Normalized data;Middle Age;beta2;T
126;Average fixed raters;0.954877;22.161721;179;537;0.0;[0.94 0.96];Normalized data;Middle Age;beta3;T
127;Average fixed raters;0.919169;12.371559;179;537;0.0;[0.9  0.94];Normalized data;Middle Age;gamma;T
